workload,page_size,queue_size_q,queue_size_numeric,total_reuse_events,visible_reuse_events,reuse_event_visibility_fraction,total_reuse_blocks,visible_reuse_blocks,reuse_block_visibility_fraction,total_next_reuses,visible_next_reuses,next_reuse_visibility_fraction
natural_periodic_refinement_gap,16,370,370,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,380,380,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,390,390,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,400,400,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,410,410,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,420,420,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,430,430,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
natural_periodic_refinement_gap,16,440,440,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,450,450,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,460,460,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,470,470,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,480,480,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,490,490,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,500,500,540,468,0.8666666666666667,138240,119808,0.8666666666666667,108,108,1.0
natural_periodic_refinement_gap,16,510,510,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,520,520,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,530,530,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,540,540,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,550,550,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,560,560,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,570,570,540,504,0.9333333333333333,138240,129024,0.9333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,580,580,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,590,590,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,600,600,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,610,610,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,620,620,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,630,630,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,640,640,540,528,0.9777777777777777,138240,135168,0.9777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,650,650,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,660,660,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,670,670,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,680,680,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,690,690,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,700,700,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,710,710,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,720,720,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,730,730,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,740,740,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,750,750,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,760,760,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,770,770,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,780,780,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,790,790,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,800,800,540,540,1.0,138240,138240,1.0,108,108,1.0
natural_periodic_refinement_gap,16,full,720,540,540,1.0,138240,138240,1.0,108,108,1.0
