phase,batch_size,k_blocks,prefix_tokens,cache_bytes,method,wall_mean_ms,wall_trimmed_mean_ms,wall_p50_ms,wall_p95_ms,wall_std_ms,cuda_mean_ms,cuda_trimmed_mean_ms,cuda_p50_ms,cuda_p95_ms,cuda_std_ms
coarse,1,80,1280,73400320,SSD_fetch,31.704453570585297,31.654947198694572,31.886958997347392,32.395776399062015,0.49842285724061863,31.694404329572404,31.645068740844728,31.874975204467773,32.38491096496582,0.49757391259249895
coarse,1,80,1280,73400320,recompute,47.41731428241889,47.394041999359615,47.36351400788408,47.763315391785,0.24235282229399469,47.40560041155134,47.38343734741211,47.34931182861328,47.75047149658203,0.2423850761165958
coarse,1,90,1440,82575360,HBM_reuse,11.24455914707921,11.251733603421599,11.263428008533083,11.32522040134063,0.0740997477064624,11.23526396070208,11.242950248718262,11.258784294128418,11.31401605606079,0.0737691347944413
coarse,1,90,1440,82575360,DRAM_fetch,21.25532714541935,21.05106040253304,20.761335006682202,23.00514750095317,1.1237284039328703,21.244388307843888,21.040729141235353,20.751455307006836,22.992851066589356,1.1233662343456785
coarse,1,90,1440,82575360,SSD_fetch,35.490164429315236,33.92591880110558,34.09013099735603,42.412607496953555,4.24505824239162,35.48001371111189,33.91591110229492,34.079200744628906,42.40221633911132,4.244683233334929
coarse,1,90,1440,82575360,recompute,50.531112855034216,50.55503779731225,50.62154300685506,50.818518905725796,0.2517666048257637,50.52176557268415,50.54567184448242,50.611297607421875,50.809037399291995,0.2515701251516822
coarse,1,100,1600,91750400,HBM_reuse,11.17715157202578,11.174882398336194,11.156562992255203,11.224728904198855,0.03475177134657476,11.168283462524414,11.166438484191895,11.149344444274902,11.215727710723877,0.03488326341717093
coarse,1,100,1600,91750400,DRAM_fetch,21.432581141458027,21.309007398667745,21.38112799730152,22.201443393714726,0.48147894598137403,21.423076629638672,21.299871826171874,21.371519088745117,22.191088676452637,0.48084028583172606
coarse,1,100,1600,91750400,SSD_fetch,36.78303457439012,36.50629460171331,36.306524998508394,38.959546109254006,1.2885693470717803,36.77284622192383,36.49670486450195,36.29692840576172,38.94715576171875,1.2874347576415843
coarse,1,100,1600,91750400,recompute,58.4418988582911,58.493160404032096,58.50650099455379,58.75655519776046,0.29869772685144486,58.43200956072126,58.48325805664062,58.494720458984375,58.746611785888675,0.29852481132293834
coarse,1,110,1760,100925440,HBM_reuse,11.217113571806944,11.220025602960959,11.21902500744909,11.260418196616229,0.035710403055712464,11.20857606615339,11.211123275756837,11.210368156433105,11.253036403656006,0.035989915188732347
